OrderID,CustomerID,OrderDate,Country
10289,BSBEV,26/08/1996 00:00,UK
10315,ISLAT,26/09/1996 00:00,UK
10318,ISLAT,01/10/1996 00:00,UK
10321,ISLAT,03/10/1996 00:00,UK
10355,AROUT,15/11/1996 00:00,UK
10359,SEVES,21/11/1996 00:00,UK
10364,EASTC,26/11/1996 00:00,UK
10377,SEVES,09/12/1996 00:00,UK
10383,AROUT,16/12/1996 00:00,UK
10388,SEVES,19/12/1996 00:00,UK
10400,EASTC,01/01/1997 00:00,UK
10435,CONSH,04/02/1997 00:00,UK
10453,AROUT,21/02/1997 00:00,UK
10462,CONSH,03/03/1997 00:00,UK
10471,BSBEV,11/03/1997 00:00,UK
10472,SEVES,12/03/1997 00:00,UK
10473,ISLAT,13/03/1997 00:00,UK
10484,BSBEV,24/03/1997 00:00,UK
10517,NORTS,24/04/1997 00:00,UK
10523,SEVES,01/05/1997 00:00,UK
10532,EASTC,09/05/1997 00:00,UK
10538,BSBEV,15/05/1997 00:00,UK
10539,BSBEV,16/05/1997 00:00,UK
10547,SEVES,23/05/1997 00:00,UK
10558,AROUT,04/06/1997 00:00,UK
10578,BSBEV,24/06/1997 00:00,UK
10599,BSBEV,15/07/1997 00:00,UK
10621,ISLAT,05/08/1997 00:00,UK
10674,ISLAT,18/09/1997 00:00,UK
10707,AROUT,16/10/1997 00:00,UK
10726,EASTC,03/11/1997 00:00,UK
10741,AROUT,14/11/1997 00:00,UK
10743,AROUT,17/11/1997 00:00,UK
10749,ISLAT,20/11/1997 00:00,UK
10752,NORTS,24/11/1997 00:00,UK
10768,AROUT,08/12/1997 00:00,UK
10793,AROUT,24/12/1997 00:00,UK
10798,ISLAT,26/12/1997 00:00,UK
10800,SEVES,26/12/1997 00:00,UK
10804,SEVES,30/12/1997 00:00,UK
10829,ISLAT,13/01/1998 00:00,UK
10848,CONSH,23/01/1998 00:00,UK
10864,AROUT,02/02/1998 00:00,UK
10869,SEVES,04/02/1998 00:00,UK
10920,AROUT,03/03/1998 00:00,UK
10933,ISLAT,06/03/1998 00:00,UK
10943,BSBEV,11/03/1998 00:00,UK
10947,BSBEV,13/03/1998 00:00,UK
10953,AROUT,16/03/1998 00:00,UK
10987,EASTC,31/03/1998 00:00,UK
11016,AROUT,10/04/1998 00:00,UK
11023,BSBEV,14/04/1998 00:00,UK
11024,EASTC,15/04/1998 00:00,UK
11047,EASTC,24/04/1998 00:00,UK
11056,EASTC,28/04/1998 00:00,UK
11057,NORTS,29/04/1998 00:00,UK
