OrderID,CustomerID,OrderDate,Country
10409,OCEAN,09/01/1997,Argentina
10448,RANCH,17/02/1997,Argentina
10521,CACTU,29/04/1997,Argentina
10531,OCEAN,08/05/1997,Argentina
10716,RANCH,24/10/1997,Argentina
10782,CACTU,17/12/1997,Argentina
10819,CACTU,07/01/1998,Argentina
10828,RANCH,13/01/1998,Argentina
10881,CACTU,11/02/1998,Argentina
10898,OCEAN,20/02/1998,Argentina
10916,RANCH,27/02/1998,Argentina
10937,CACTU,10/03/1998,Argentina
10958,OCEAN,18/03/1998,Argentina
10986,OCEAN,30/03/1998,Argentina
11019,RANCH,13/04/1998,Argentina
11054,CACTU,28/04/1998,Argentina
