OrderID,CustomerID,OrderDate,Country
10262,RATTC,22/07/1996 00:00,USA
10269,WHITC,31/07/1996 00:00,USA
10271,SPLIR,01/08/1996 00:00,USA
10272,RATTC,02/08/1996 00:00,USA
10294,RATTC,30/08/1996 00:00,USA
10305,OLDWO,13/09/1996 00:00,USA
10307,LONEP,17/09/1996 00:00,USA
10310,THEBI,20/09/1996 00:00,USA
10314,RATTC,25/09/1996 00:00,USA
10316,RATTC,27/09/1996 00:00,USA
10317,LONEP,30/09/1996 00:00,USA
10324,SAVEA,08/10/1996 00:00,USA
10329,SPLIR,15/10/1996 00:00,USA
10338,OLDWO,25/10/1996 00:00,USA
10344,WHITC,01/11/1996 00:00,USA
10346,RATTC,05/11/1996 00:00,USA
10349,SPLIR,08/11/1996 00:00,USA
10369,SPLIR,02/12/1996 00:00,USA
10375,HUNGC,06/12/1996 00:00,USA
10385,SPLIR,17/12/1996 00:00,USA
10393,SAVEA,25/12/1996 00:00,USA
10394,HUNGC,25/12/1996 00:00,USA
10398,SAVEA,30/12/1996 00:00,USA
10401,RATTC,01/01/1997 00:00,USA
10415,HUNGC,15/01/1997 00:00,USA
10432,SPLIR,31/01/1997 00:00,USA
10440,SAVEA,10/02/1997 00:00,USA
10441,OLDWO,10/02/1997 00:00,USA
10452,SAVEA,20/02/1997 00:00,USA
10469,WHITC,10/03/1997 00:00,USA
10479,RATTC,19/03/1997 00:00,USA
10482,LAZYK,21/03/1997 00:00,USA
10483,WHITC,24/03/1997 00:00,USA
10504,WHITC,11/04/1997 00:00,USA
10510,SAVEA,18/04/1997 00:00,USA
10528,GREAL,06/05/1997 00:00,USA
10544,LONEP,21/05/1997 00:00,USA
10545,LAZYK,22/05/1997 00:00,USA
10555,SAVEA,02/06/1997 00:00,USA
10564,RATTC,10/06/1997 00:00,USA
10569,RATTC,16/06/1997 00:00,USA
10574,TRAIH,19/06/1997 00:00,USA
10577,TRAIH,23/06/1997 00:00,USA
10579,LETSS,25/06/1997 00:00,USA
10589,GREAL,04/07/1997 00:00,USA
10594,OLDWO,09/07/1997 00:00,USA
10596,WHITC,11/07/1997 00:00,USA
10598,RATTC,14/07/1997 00:00,USA
10600,HUNGC,16/07/1997 00:00,USA
10603,SAVEA,18/07/1997 00:00,USA
10607,SAVEA,22/07/1997 00:00,USA
10612,SAVEA,28/07/1997 00:00,USA
10616,GREAL,31/07/1997 00:00,USA
10617,GREAL,31/07/1997 00:00,USA
10624,THECR,07/08/1997 00:00,USA
10627,SAVEA,11/08/1997 00:00,USA
10656,GREAL,04/09/1997 00:00,USA
10657,SAVEA,04/09/1997 00:00,USA
10660,HUNGC,08/09/1997 00:00,USA
10662,LONEP,09/09/1997 00:00,USA
10665,LONEP,11/09/1997 00:00,USA
10678,SAVEA,23/09/1997 00:00,USA
10680,OLDWO,24/09/1997 00:00,USA
10681,GREAL,25/09/1997 00:00,USA
10693,WHITC,06/10/1997 00:00,USA
10696,WHITC,08/10/1997 00:00,USA
10700,SAVEA,10/10/1997 00:00,USA
10706,OLDWO,16/10/1997 00:00,USA
10708,THEBI,17/10/1997 00:00,USA
10711,SAVEA,21/10/1997 00:00,USA
10713,SAVEA,22/10/1997 00:00,USA
10714,SAVEA,22/10/1997 00:00,USA
10719,LETSS,27/10/1997 00:00,USA
10722,SAVEA,29/10/1997 00:00,USA
10723,WHITC,30/10/1997 00:00,USA
10735,LETSS,10/11/1997 00:00,USA
10740,WHITC,13/11/1997 00:00,USA
10748,SAVEA,20/11/1997 00:00,USA
10756,SPLIR,27/11/1997 00:00,USA
10757,SAVEA,27/11/1997 00:00,USA
10761,RATTC,02/12/1997 00:00,USA
10775,THECR,12/12/1997 00:00,USA
10805,THEBI,30/12/1997 00:00,USA
10808,OLDWO,01/01/1998 00:00,USA
10815,SAVEA,05/01/1998 00:00,USA
10816,GREAL,06/01/1998 00:00,USA
10820,RATTC,07/01/1998 00:00,USA
10821,SPLIR,08/01/1998 00:00,USA
10822,TRAIH,08/01/1998 00:00,USA
10847,SAVEA,22/01/1998 00:00,USA
10852,RATTC,26/01/1998 00:00,USA
10855,OLDWO,27/01/1998 00:00,USA
10861,WHITC,30/01/1998 00:00,USA
10867,LONEP,03/02/1998 00:00,USA
10882,SAVEA,11/02/1998 00:00,USA
10883,LONEP,12/02/1998 00:00,USA
10884,LETSS,12/02/1998 00:00,USA
10889,RATTC,16/02/1998 00:00,USA
10894,SAVEA,18/02/1998 00:00,USA
10904,WHITC,24/02/1998 00:00,USA
10936,GREAL,09/03/1998 00:00,USA
10941,SAVEA,11/03/1998 00:00,USA
10965,OLDWO,20/03/1998 00:00,USA
10974,SPLIR,25/03/1998 00:00,USA
10983,SAVEA,27/03/1998 00:00,USA
10984,SAVEA,30/03/1998 00:00,USA
10988,RATTC,31/03/1998 00:00,USA
10992,THEBI,01/04/1998 00:00,USA
11000,RATTC,06/04/1998 00:00,USA
11002,SAVEA,06/04/1998 00:00,USA
11003,THECR,06/04/1998 00:00,USA
11006,GREAL,07/04/1998 00:00,USA
11018,LONEP,13/04/1998 00:00,USA
11030,SAVEA,17/04/1998 00:00,USA
11031,SAVEA,17/04/1998 00:00,USA
11032,WHITC,17/04/1998 00:00,USA
11034,OLDWO,20/04/1998 00:00,USA
11040,GREAL,22/04/1998 00:00,USA
11061,GREAL,30/04/1998 00:00,USA
11064,SAVEA,01/05/1998 00:00,USA
11066,WHITC,01/05/1998 00:00,USA
11077,RATTC,06/05/1998 00:00,USA
